Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 1,0.9970268607139587,1,0,0,96,0,90,1.0,0.2318840579710145,0.37647058823529417
Image 126,0.997021496295929,1,0,1,97,0,91,1.0,0.23429951690821257,0.37964774951076324
Image 24,0.9970212578773499,1,0,0,98,0,91,1.0,0.23671497584541062,0.3828125
Image 119,0.9969955682754517,1,0,0,99,0,91,1.0,0.2391304347826087,0.3859649122807018
Image 44,0.9969176054000854,1,0,0,100,0,91,1.0,0.24154589371980675,0.38910505836575876
Image 68,0.9968923926353455,1,0,0,101,0,91,1.0,0.24396135265700483,0.39223300970873787
Image 54,0.996885359287262,1,0,0,102,0,91,1.0,0.2463768115942029,0.39534883720930236
Image 62,0.9968451261520386,1,0,2,103,0,93,1.0,0.24879227053140096,0.3984526112185687
Image 116,0.9968268275260925,1,0,0,104,0,93,1.0,0.25120772946859904,0.4015444015444016
Image 75,0.9968026876449585,1,0,1,105,0,94,1.0,0.2536231884057971,0.4046242774566474
Image 123,0.9967785477638245,1,0,0,106,0,94,1.0,0.2560386473429952,0.40769230769230774
Image 66,0.9966784715652466,1,0,0,107,0,94,1.0,0.2584541062801932,0.41074856046065256
Image 86,0.9965973496437073,1,0,1,108,0,95,1.0,0.2608695652173913,0.41379310344827586
Image 95,0.9965747594833374,1,0,0,109,0,95,1.0,0.2632850241545894,0.41682600382409174
Image 28,0.9965465664863586,1,0,0,110,0,95,1.0,0.26570048309178745,0.4198473282442748
Image 50,0.9964959025382996,1,0,0,111,0,95,1.0,0.26811594202898553,0.4228571428571429
Image 26,0.9964812994003296,1,0,0,112,0,95,1.0,0.27053140096618356,0.4258555133079848
Image 121,0.9964097142219543,1,0,1,113,0,96,1.0,0.27294685990338163,0.42884250474383306
Image 90,0.9963722229003906,1,0,0,114,0,96,1.0,0.2753623188405797,0.4318181818181819
Image 108,0.9963286519050598,1,0,0,115,0,96,1.0,0.2777777777777778,0.4347826086956522
Image 85,0.9963106513023376,1,0,0,116,0,96,1.0,0.28019323671497587,0.43773584905660384
Image 80,0.9962154030799866,1,0,2,117,0,98,1.0,0.2826086956521739,0.4406779661016949
Image 81,0.9961836934089661,1,0,0,118,0,98,1.0,0.28502415458937197,0.443609022556391
Image 34,0.9961189031600952,1,0,1,119,0,99,1.0,0.28743961352657005,0.4465290806754222
Image 83,0.9958983063697815,1,0,0,120,0,99,1.0,0.2898550724637681,0.44943820224719105
Image 9,0.9958199262619019,1,0,2,121,0,101,1.0,0.2922705314009662,0.4523364485981309
Image 15,0.9958071708679199,1,0,1,122,0,102,1.0,0.2946859903381642,0.4552238805970149
Image 100,0.9957636594772339,1,0,0,123,0,102,1.0,0.2971014492753623,0.45810055865921784
Image 79,0.9957463145256042,1,0,1,124,0,103,1.0,0.2995169082125604,0.46096654275092935
Image 29,0.9956531524658203,1,0,2,125,0,105,1.0,0.30193236714975846,0.463821892393321
Image 14,0.9955714344978333,1,0,5,126,0,110,1.0,0.30434782608695654,0.4666666666666667
Image 20,0.995502769947052,1,0,0,127,0,110,1.0,0.30676328502415456,0.4695009242144177
Image 104,0.9953879714012146,1,0,2,128,0,112,1.0,0.30917874396135264,0.47232472324723246
Image 57,0.9953461289405823,1,0,0,129,0,112,1.0,0.3115942028985507,0.4751381215469613
Image 41,0.9952847361564636,1,0,0,130,0,112,1.0,0.3140096618357488,0.4779411764705882
Image 106,0.9950553178787231,1,0,0,131,0,112,1.0,0.3164251207729469,0.48073394495412847
Image 127,0.9950258135795593,1,0,0,132,0,112,1.0,0.3188405797101449,0.48351648351648346
Image 111,0.9948127269744873,1,0,2,133,0,114,1.0,0.321256038647343,0.4862888482632541
Image 64,0.9947117567062378,1,0,0,134,0,114,1.0,0.32367149758454106,0.4890510948905109
Image 71,0.9945039749145508,1,0,2,135,0,116,1.0,0.32608695652173914,0.4918032786885246
Image 7,0.9940576553344727,1,0,0,136,0,116,1.0,0.3285024154589372,0.4945454545454545
Image 110,0.9940405488014221,1,0,0,137,0,116,1.0,0.3309178743961353,0.49727767695099817
Image 80,0.9937689900398254,1,0,0,138,0,116,1.0,0.3333333333333333,0.5
